Model,Detection Rate (%),True Accuracy (%),False Positive Rate (%),Speed (images/sec),Avg Detection Time (s)
YOLOv5-Face,20.0,10.0,10.0,17.785927067718593,0.05622422695159912
YOLOv8-Face,80.0,50.0,30.0,17.489493095820382,0.057177186012268066
